convert_2_file::2024/03/07 17:23:21.073 | MainProcess | INFO | verify_data | generate_excel_data::41 | 19596 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:23:21.074 | MainProcess | INFO | run_batch | get_data_files::112 | 19596 >>> Read Text files: 'D:\Document\Coding\Project\convert_2_files\raw/LDS-P_UserDetail.txt'.
convert_2_file::2024/03/07 17:23:21.075 | MainProcess | INFO | verify_data | generate_text_data::103 | 19596 >>> Cleansing Data in Text files to Dataframe..
convert_2_file::2024/03/07 17:23:21.075 | MainProcess | INFO | run_batch | get_data_files::109 | 19596 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/Lead-Management.xlsx'.
convert_2_file::2024/03/07 17:23:21.075 | MainProcess | INFO | verify_data | generate_excel_data::41 | 19596 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:23:21.078 | MainProcess | INFO | run_batch | get_data_files::109 | 19596 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/MOC.xlsx'.
convert_2_file::2024/03/07 17:23:21.078 | MainProcess | INFO | verify_data | generate_excel_data::41 | 19596 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:23:21.081 | MainProcess | INFO | run_batch | write_data_to_tmp_file::127 | 19596 >>> Write Data to Tmp files..
convert_2_file::2024/03/07 17:23:21.092 | MainProcess | INFO | verify_data | validation_data::121 | 19596 >>> Verify Changed information..
convert_2_file::2024/03/07 17:23:21.098 | MainProcess | INFO | run_batch | write_data_to_tmp_file::158 | 19596 >>> Genarate Sheet_name: RUN_TIME_3 in Tmp files.
convert_2_file::2024/03/07 17:23:21.099 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 19596 >>> No Change Rows: (2) in Tmp files.
convert_2_file::2024/03/07 17:23:21.100 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 19596 >>> Removed Rows: (3) in Tmp files.
convert_2_file::2024/03/07 17:23:21.100 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 19596 >>> Removed Rows: (4) in Tmp files.
convert_2_file::2024/03/07 17:23:21.101 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 19596 >>> Removed Rows: (5) in Tmp files.
convert_2_file::2024/03/07 17:23:21.102 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 19596 >>> Removed Rows: (6) in Tmp files.
convert_2_file::2024/03/07 17:23:21.103 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 19596 >>> Removed Rows: (7) in Tmp files.
convert_2_file::2024/03/07 17:23:21.104 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 19596 >>> Removed Rows: (8) in Tmp files.
convert_2_file::2024/03/07 17:23:21.118 | MainProcess | INFO | run_batch | write_data_to_tmp_file::197 | 19596 >>> Write to Tmp files status: successed.
convert_2_file::2024/03/07 17:23:21.118 | MainProcess | INFO | run_batch | write_data_to_target_file::207 | 19596 >>> Write Data to Target files..
convert_2_file::2024/03/07 17:23:21.130 | MainProcess | INFO | verify_data | append_target_data::173 | 19596 >>> Append Target Data..
